cluster,topic,dept,n,sample,prominence,dept_counts
Ion Exchange and Lithium Recovery,Innovative Methods for Metal Ion Preconcentration,Kimia,12,"[""Recycling of nickel metal from spent nickel-manganese-cobalt (NMC) cathode batteries using H3PO4–H2C2O4 solution combination as an efficient leaching agent"", ""Synthesis of a new crosslinked poly-bisphenol a diglycidyl ether (Poly-BADGE) as a carrier in phenol transport"", ""Investigation of reaction mechanism in selective citric acid leaching of Ni and Co from NMC cathodes via real time Raman spectroscopy and RSM optimization""]",94.2,"{""Kimia"": 10, ""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1}"
Software Engineering Innovations in Open Source Development,Natural Language Processing in Software Requirements,Ilmu Komputer dan Elektronika,12,"[""How Can Human Values be Addressed in Agile Methods? A Case Study on SAFe"", ""PrivacyStory: Tool Support for Extracting Privacy Requirements from User Stories"", ""The Comparison of Feature Selection Methods in Software Defect Prediction""]",90.5,"{""Ilmu Komputer dan Elektronika"": 12}"
Supramolecular Complexation in Advanced Material Design,Calixarene Derivatives in Metal Ion Extraction,Kimia,12,"[""Development of aromatic ethers as solvents for a calix[6]arene derivative and extraction of amino acids and proteins"", ""Improved precious metal adsorption by introduction of carboxylic acid groups on methylene crosslinked calix[4]arene resin matrix"", ""Allyl-Modified of Calix[4]resorcinarene Derivatives for HER2 Inhibition Agents: An In Silico Study""]",60.4,"{""Kimia"": 9, ""Fisika"": 1, ""Ilmu Komputer dan Elektronika"": 1, ""Matematika"": 1}"
Autonomous Control Systems for Aerial Vehicles,Control Strategies for Autonomous Quadrotor Navigation,Ilmu Komputer dan Elektronika,11,"[""Modeling and Simulation of The UX-6 Fixed-Wing Unmanned Aerial Vehicle"", ""Model, Control, and Realistic Visual 3D Simulation of VTOL Fixed-Wing Transition Flight Considering Ground Effect"", ""Validation of Quad Tail-sitter VTOL UAV Model in Fixed Wing Mode""]",60.5,"{""Ilmu Komputer dan Elektronika"": 9, ""Fisika"": 2}"
Causal Inference and Estimation in Health Research,Innovative Approaches to Missing Value Imputation,Matematika,11,"[""Applying two approaches to detect unmeasured confounding due to time-varying variables in a self-controlled risk interval design evaluating COVID-19 vaccine safety signals, using myocarditis as a case example"", ""Continuous-time Hybrid Markov/semi-Markov Model with Sojourn Time Approach in the Spread of Infectious Diseases"", ""Multi-state SIRD model with semi-Markov assumptions on the spread of COVID-19 disease based on sojourn time distribution""]",84.4,"{""Matematika"": 6, ""Ilmu Komputer dan Elektronika"": 3, ""Kimia"": 2}"
Fluorescent Probes and Molecular Receptors in Detection,Fluorescent Probes for Heavy Metal Detection,Kimia,11,"[""Fluorescent Flippers: Small-Molecule Probes to Image Membrane Tension in Living Systems"", ""Fast and selective colorimetric detection of Fe3+ based on gold nanoparticles capped with ortho-hydroxybenzoic acid"", ""A Review on Calixarene Fluorescent Chemosensor Agents for Various Analytes""]",69.5,"{""Kimia"": 10, ""Fisika"": 1}"
Genetic Diversity and Treatment Strategies in Malaria,Targeting Hemozoin Formation in Antimalarial Development,Kimia,11,"[""In vitro antiplasmodial, heme polymerization, and cytotoxicity of hydroxyxanthone derivatives"", ""Synthesis, antimalarial activity assay and molecular docking study of N-substituted chloro-pyrazolines"", ""Substituted 3-styryl-2-pyrazoline Derivatives as an Antimalaria: Synthesis, in vitro Assay, Molecular Docking, Druglikeness Analysis, and ADMET Prediction""]",54.6,"{""Kimia"": 9, ""Matematika"": 1, ""Fisika"": 1}"
Innovative Methods for Dye Removal and Analysis,Ion-Selective Electrode Technology,Kimia,11,"[""All-solid-state astringent taste sensor using polypyrrole-carbon black composite as ion-electron transducer"", ""Optical chemical sensor based on 2,2-furildioxime in sol-gel matrix for determination of ni2+ in water"", ""A Sol-gel Membrane Utilized Cellulose Paper Doped with α-furil Dioxime for Colorimetric Determination of Nickel""]",73.8,"{""Ilmu Komputer dan Elektronika"": 3, ""Kimia"": 5, ""Matematika"": 2, ""Fisika"": 1}"
Interplay of Quantum Gravity and Cosmological Models,Dark Energy and Cosmological Models,Kimia,11,"[""Constraining f(R) Gravity Models with The Late-Time Cosmological Evolution"", ""Inflation in an R2-corrected f(R) gravity model"", ""Preventing curvature singularities in f(R) dark energy models""]",91.6,"{""Kimia"": 5, ""Fisika"": 4, ""Ilmu Komputer dan Elektronika"": 2}"
Layered Double Hydroxides in Polymer Nanocomposites,Layered Double Hydroxides in Nanocomposite Applications,Kimia,11,"[""Insights of Auric Ion Adsorption in the Presence of Ferric and Hexavalent Chromium Species on Mg/Al Layered Double Hydroxides"", ""Dehydration Isopropyl Alcohol to Diisopropyl Ether over Molybdenum Phosphide Pillared Bentonite"", ""Solvent-free mechanochemically synthesized Zn layered hydroxide salts for the adsorption of naphtholate AS dye""]",58.3,"{""Kimia"": 10, ""Ilmu Komputer dan Elektronika"": 1}"
Seismic Insights into Tectonic and Hydrothermal Systems,Seismic Insights into Crustal and Mantle Structures,Fisika,11,"[""Mechanical Imaging of a Volcano Plumbing System From GNSS Unsupervised Modeling"", ""Radiogenic heat production of S-type and I-type granite rocks in Bangka Island, Indonesia"", ""Crustal thickness estimation in Indonesia using receiver function method""]",61.5,"{""Fisika"": 8, ""Ilmu Komputer dan Elektronika"": 3}"
Augmented Reality and Gesture Recognition Innovations,Innovative Approaches in Sign Language Recognition,Ilmu Komputer dan Elektronika,10,"[""Augmented Reality With Authentic GeometryGo App to Help Geometry Learning and Assessments"", ""Advancing Total Communication in SIBI: A Proposed Conceptual Framework for Sign Language Translation"", ""Comparison of Support Vector Machine and Neural Network Algorithm in Drone Detection System""]",97.6,"{""Ilmu Komputer dan Elektronika"": 6, ""Matematika"": 3, ""Kimia"": 1}"
Bayesian Mixture Models in Regression Analysis,Nonparametric Regression Models for Data Analysis,Matematika,10,"[""Minimum message length in hybrid arma and lstm model forecasting"", ""An analysis about fourier series estimator in nonparametric regression for longitudinal data"", ""The performance of nonparametric regression for trend and seasonal pattern in longitudinal data""]",47.6,"{""Belum terpetakan"": 3, ""Matematika"": 4, ""Fisika"": 1, ""Kimia"": 2}"
Carbon-Based Membranes for Enhanced Gas Separation,Activated Carbon Applications in Environmental Remediation,Fisika,10,"[""Graphene oxide-melamine nanofilm composite membrane for efficient CO2 gas separation"", ""Switching gas permeation through smart membranes by external stimuli: a review"", ""Comprehensive study of thermochemical conversion of biomass okara into biochar""]",79.9,"{""Fisika"": 5, ""Kimia"": 5}"
Flavonoids and Their Impact on Health,Curcumin's Multifaceted Impact on Cancer Therapy,Kimia,10,"[""Acute and Subchronic Oral Toxicity Study of Polyherbal Formulation Containing Allium sativum L., Terminalia bellirica (Gaertn.) Roxb., Curcuma aeruginosa Roxb., and Amomum compactum Sol. ex. Maton in Rats"", ""Synthesis, molecular docking, and evaluation of some new curcumin analogs as antimalarial agents"", ""Synthesis of curcumin from piperonal and its spectrometric characterization using dft-b3lyp/6-31g(D) method""]",92.2,"{""Kimia"": 9, ""Fisika"": 1}"
Innovative Techniques in Image Processing and Calibration,Image Feature Extraction and Retrieval,Ilmu Komputer dan Elektronika,10,"[""Improved ORB Algorithm Through Feature Point Optimization and Gaussian Pyramid"", ""Object Searching on Video Using ORB Descriptor and Support Vector Machine"", ""Development of laboratory devices for real-time measurement of object 3D position using stereo cameras""]",70.9,"{""Ilmu Komputer dan Elektronika"": 5, ""Fisika"": 5}"
Interconnected Dynamics of Social Networks and Data Privacy,Dynamics of Opinion Formation in Social Networks,Fisika,10,"[""Mass media and its impact on opinion dynamics of the nonlinear q-voter model"", ""Phase transition of the Sznajd model with anticonformity for two different agent configurations"", ""Phase transition and universality of the three-one spin interaction based on the majority-rule model""]",95.9,"{""Fisika"": 6, ""Ilmu Komputer dan Elektronika"": 3, ""Kimia"": 1}"
Microalgae Utilization for Lipid Production and Wastewater Treatment,Antimicrobial Fatty Acids and Their Applications,Kimia,10,"[""Antimicrobial Properties of Lauric Acid and Monolaurin in Virgin Coconut Oil: A Review"", ""Simultaneous Extraction and In-Situ Transesterification of Chlorella vulgaris Using Microwave-Assisted Method for Biodiesel Production"", ""Optimizations of microwave-assisted extraction and transesterification of bio-crude oil from spirulina (Arthrospira platensis)""]",91.5,"{""Kimia"": 6, ""Ilmu Komputer dan Elektronika"": 3, ""Fisika"": 1}"
Neutrino Mass and Higgs Mechanisms,Gluon Dynamics in High-Energy Nuclear Interactions,Fisika,10,"[""GTMD model predictions for diffractive dijet production at EIC"", ""Probing gluon GTMDs through exclusive coherent diffractive processes"", ""Physics case for quarkonium studies at the Electron Ion Collider""]",76.0,"{""Fisika"": 7, ""Ilmu Komputer dan Elektronika"": 3}"
Privacy Dynamics in Social Media and Technology,Data Protection and Privacy Engineering Frameworks,Ilmu Komputer dan Elektronika,10,"[""Leveraging NLP Techniques for Privacy Requirements Engineering in User Stories"", ""A Named Entity Recognition Based Approach for Privacy Requirements Engineering"", ""Toward a Holistic Privacy Requirements Engineering Process: Insights from a Systematic Literature Review""]",53.6,"{""Ilmu Komputer dan Elektronika"": 8, ""Fisika"": 1, ""Matematika"": 1}"
Probability Models for Random Processes and Data,Credibility Models in Insurance Premium Assessment,Matematika,10,"[""Credible delta-gamma-normal value-at-risk for european call option risk valuation"", ""Risk analysis of five stocks indexed by LQ45 using credible value at risk and credible expected tail loss"", ""Measuring Risk utilizing Credible Monte Carlo Value at Risk and Credible Monte Carlo Expected Tail Loss""]",9.6,"{""Matematika"": 5, ""Belum terpetakan"": 1, ""Kimia"": 4}"
Reinforcement Learning Applications in Autonomous Systems,Deep Learning Innovations in Autonomous Vehicle Control,Ilmu Komputer dan Elektronika,10,"[""End-to-End Autonomous Driving With Semantic Depth Cloud Mapping and Multi-Agent"", ""Multi-objective reinforcement learning for bi-objective time-dependent pickup and delivery problem with late penalties"", ""DeepIPC: Deeply Integrated Perception and Control for an Autonomous Vehicle in Real Environments""]",91.7,"{""Ilmu Komputer dan Elektronika"": 7, ""Fisika"": 1, ""Matematika"": 2}"
Seismic Data Processing Techniques,Seismic Waveform Inversion Techniques,Fisika,10,"[""3-D multicomponent full waveform inversion for shallow-seismic target: Ettlingen Line case study"", ""Graph space optimal transport based FWI: 3D OBC Valhall case study"", ""Multi-parameter post-stack seismic inversion based on the cycle loop – semi-supervised learning""]",45.4,"{""Fisika"": 9, ""Matematika"": 1}"
Stochastic Models for Pricing and Risk Management,Lévy Processes and Stochastic Volatility in Option Pricing,Matematika,10,"[""Daily stock prices prediction using variance gamma model"", ""European Call Options Pricing Numerically using Finite Element Method"", ""One-Period Coupon Bond Valuation Using the Variance Gamma Model""]",34.8,"{""Matematika"": 8, ""Ilmu Komputer dan Elektronika"": 1, ""Kimia"": 1}"
Structure and Properties of Finite Groups,Cayley Graphs and Commutative Structures in Finite Groups,Matematika,10,"[""On the 2-Token Graphs of Some Disjoint Union of Graphs"", ""BIPARTITE GRAPH ASSOCIATED WITH ELEMENTS AND COSETS OF SUBRINGS OF FINITE RINGS"", ""ON THE GIRTH, INDEPENDENCE NUMBER, AND WIENER INDEX OF COPRIME GRAPH OF DIHEDRAL GROUP""]",5.4,"{""Matematika"": 7, ""Kimia"": 1, ""Ilmu Komputer dan Elektronika"": 2}"
Thermal Decomposition and Energetic Material Properties,Catalytic Pyrolysis of Plastic Waste for Energy Recovery,Kimia,10,"[""Modified waste polystyrene as a novel adsorbent for removal of methylene blue from aqueous media"", ""Conversion of polystyrene plastic waste and used palm oil co-reactant into liquid fuel using AL-MCM-41/ceramics catalyst"", ""Conversion of the styrofoam waste into a high-capacity and recoverable adsorbent in the removing the toxic Pb2+ from water media""]",89.0,"{""Kimia"": 7, ""Ilmu Komputer dan Elektronika"": 1, ""Fisika"": 2}"
Environmental Impact of Pharmaceuticals and Contaminants,Adsorption Mechanisms for Tetracycline Removal,Kimia,9,"[""Hydrophobic modification of naturally magnetic silica with methyltrimethoxysilane for enhanced adsorption of chloramphenicol and ciprofloxacin"", ""Effectiveness comparison of octyltrimethoxysilane and hexadecyltrimethoxysilane functionalized on natural silica-coated magnetic materials for ciprofloxacin and chloramphenicol adsorption"", ""Novel green synthesis approach of eco-friendly magnetic/semiconductor nanocomposites as magnetically separable and reusable photocatalyst for organic dye degradation""]",97.8,"{""Kimia"": 8, ""Ilmu Komputer dan Elektronika"": 1}"
High-Performance Supercapacitors with Advanced Materials,Sustainable Carbon Materials for Energy Storage Applications,Fisika,9,"[""Microstructures, Optical, magnetic Properties, and photocatalytic activity of magnetically separable and reusable ZnO-Doped Fe3O4/rGO nanocomposite synthesized via green route"", ""Biomass waste-derived graphene oxide for sustainable supercapacitors: synthesis strategies, structure–property relationships, and energy storage insights"", ""TiO2-Based Nanostructured Electrodes for High-Performance Supercapacitors: A Comprehensive Review""]",98.2,"{""Ilmu Komputer dan Elektronika"": 2, ""Fisika"": 6, ""Kimia"": 1}"
Innovative Drug Delivery Systems for Enhanced Absorption,Electronic Tongue Systems for Taste and Quality Assessment,Kimia,9,"[""Potentiometry lipid membrane based electronic tongue for the classification of mint in tea by principal component analysis (PCA) and linear discrimination analysis (LDA)"", ""Synthesis, characterization, and stability evaluation of β-carotene encapsulated in starch-chitosan/tripolyphosphate matrices"", ""Release kinetics and antioxidant activity of β-carotene encapsulated in starch-chitosan/tripolyphosphate matrices""]",88.8,"{""Fisika"": 2, ""Kimia"": 5, ""Ilmu Komputer dan Elektronika"": 1, ""Matematika"": 1}"
